mean_fit_time,mean_test_score,mean_train_score,params
81.09167234102885,0.6637599980139732,0.7255396432468372,"{'learn_rate_decay': 0.0, 'learn_rate': 0.001}"
86.9687716960907,0.5292400012803078,0.5557402392207429,"{'learn_rate_decay': 0.1, 'learn_rate': 0.001}"
87.30045366287231,0.5812800016188622,0.6376602644692314,"{'learn_rate_decay': 0.01, 'learn_rate': 0.001}"
83.07646568616231,0.5986400010895729,0.6568805956801587,"{'learn_rate_decay': 0.001, 'learn_rate': 0.001}"
88.89220547676086,0.8661200013637542,0.9581601960674547,"{'learn_rate_decay': 0.0, 'learn_rate': 0.01}"
83.94362465540569,0.64551999907732,0.7042202803561635,"{'learn_rate_decay': 0.1, 'learn_rate': 0.01}"
82.52870758374532,0.8720400000548363,0.9432199035090566,"{'learn_rate_decay': 0.01, 'learn_rate': 0.01}"
85.4352814356486,0.8651599997448921,0.9491795268924705,"{'learn_rate_decay': 0.001, 'learn_rate': 0.01}"
81.20035513242085,0.49860000032901763,0.49646001772831166,"{'learn_rate_decay': 0.0, 'learn_rate': 0.1}"
82.42746861775716,0.49932000094890594,0.5003799391701423,"{'learn_rate_decay': 0.1, 'learn_rate': 0.1}"
80.7392996152242,0.496559999332428,0.501720016606857,"{'learn_rate_decay': 0.01, 'learn_rate': 0.1}"
77.16285268465678,0.496559999332428,0.501720016606857,"{'learn_rate_decay': 0.001, 'learn_rate': 0.1}"
76.39148267110188,0.5041199995148182,0.497939989014611,"{'learn_rate_decay': 0.0, 'learn_rate': 0.3}"
76.53771336873372,0.5034400001108646,0.498279981128176,"{'learn_rate_decay': 0.1, 'learn_rate': 0.3}"
76.79622626304626,0.49999999909043313,0.5000000498403255,"{'learn_rate_decay': 0.01, 'learn_rate': 0.3}"
77.22979100545247,0.5006799984943867,0.4996600577267604,"{'learn_rate_decay': 0.001, 'learn_rate': 0.3}"
